Date,Close
2025-11-03,4221.87
2025-11-04,4121.74
2025-11-05,4004.42
2025-11-06,4026.45
2025-11-07,3953.76
2025-11-10,4073.24
2025-11-11,4106.39
2025-11-12,4150.39
2025-11-13,4170.63
2025-11-14,4011.57
2025-11-17,4089.25
2025-11-18,3953.62
2025-11-19,3929.51
2025-11-20,4004.85
2025-11-21,3853.26
2025-11-24,3846.06
2025-11-25,3857.78
2025-11-26,3960.87
2025-11-27,3986.91
2025-11-28,3926.59
2025-12-01,3920.37
2025-12-02,3994.93
2025-12-03,4036.3
2025-12-04,4028.51
2025-12-05,4100.05
2025-12-08,4154.85
2025-12-09,4143.55
2025-12-10,4135
2025-12-11,4110.62
2025-12-12,4167.16
2025-12-15,4090.59
2025-12-16,3999.13
2025-12-17,4056.41
2025-12-18,3994.51
2025-12-19,4020.55
2025-12-22,4105.93
2025-12-23,4117.32
2025-12-24,4108.62
2025-12-26,4129.68
2025-12-29,4220.56
2025-12-30,4214.17
2026-01-02,4309.63
2026-01-05,4457.52
2026-01-06,4525.48
2026-01-07,4551.06
2026-01-08,4552.37
2026-01-09,4586.32
